Energy,Sat_Fat,Sugar,Sodium,Protein,Fiber,Source,FSSAI_Stars
479.0,9.4,32.5,114.0,5.9,0.0,Packaged,3.0
483.0,10.3,12.7,362.0,9.3,6.7,Packaged,3.0
507.0,12.7,35.7,181.5,7.3,0.0,Packaged,3.0
105.0,3.2,6.8,35.1,1.2,0.0,Packaged,4.0
445.0,5.6,21.3,292.4,9.1,0.0,Packaged,2.5
512.0,11.0,22.0,0.0,7.0,0.0,Packaged,3.0
538.0,14.0,25.0,160.0,10.0,8.0,Packaged,3.0
493.5,10.1,38.3,119.0,5.0,0.0,Packaged,3.0
516.9,11.8,5.0,203.7,8.2,12.0,Packaged,4.0
512.0,11.0,22.0,0.0,7.0,0.0,Packaged,3.0
483.0,9.5,33.5,214.0,5.0,0.0,Packaged,2.5
532.0,6.04,34.7,260.0,6.5,8.0,Packaged,3.0
437.2,10.8,40.0,243.5,3.8,0.0,Packaged,2.5
464.0,8.5,2.1,404.0,9.4,9.2,Packaged,3.5
503.2,12.3,6.2,231.3,12.2,10.1,Packaged,4.0
463.0,8.0,30.5,274.0,6.0,0.0,Packaged,2.5
512.0,11.0,22.0,0.0,7.0,0.0,Packaged,3.0
509.0,12.0,19.3,419.5,9.1,0.0,Packaged,2.5
488.55,10.72,13.57,61.78,9.55,4.66,Packaged,3.5
486.0,9.4,24.0,309.0,7.4,0.0,Packaged,2.5
506.0,11.5,20.8,592.0,6.4,0.0,Packaged,2.5
471.0,12.2,28.0,213.0,5.8,0.0,Packaged,3.0
500.0,12.9,30.2,204.0,7.0,0.0,Packaged,3.0
535.0,15.4,29.0,491.4,7.4,0.0,Packaged,2.5
278.0,2.9,3.5,176.0,12.0,8.0,Packaged,5.0
512.0,13.7,31.5,536.0,68.0,0.0,Packaged,2.5
478.0,8.6,19.5,385.0,8.0,8.4,Packaged,3.0
417.0,8.9,42.0,0.0,10.5,18.6,Packaged,4.0
506.0,15.0,26.6,640.0,7.0,0.0,Packaged,2.5
464.0,11.9,25.6,209.0,6.5,0.0,Packaged,3.0
487.0,10.0,26.0,195.0,5.5,0.0,Packaged,3.0
