Product_Name,Energy,Total_Fat,Saturated_Fat,Total_Sugars,Sodium,Protein,Dietary_Fiber,product_form
Hot tea (Garam Chai),16.14,0.53,0.16,2.58,3.12,0.39,0.0,liquid
Instant coffee,23.16,0.75,0.22,3.62,4.92,0.64,0.0,liquid
Espreso coffee,51.54,2.14,0.64,6.53,13.98,1.75,0.0,liquid
Iced tea,10.34,0.01,0.0,2.7,0.23,0.03,0.0,liquid
Raw mango drink (Aam panna),35.92,0.03,0.01,7.49,79.82,0.16,0.61,liquid
Fruit Punch (with fresh juices),36.12,0.03,0.01,9.25,2.63,0.14,0.06,liquid
Fruit Punch (with squashes),23.13,0.02,0.01,5.88,2.26,0.07,0.17,liquid
Lemonade,20.8,0.01,0.0,5.47,28.52,0.03,0.02,liquid
Lem-o-gin,21.52,0.03,0.01,5.38,28.13,0.08,0.13,solid
Cumin infused water (Jeere/Zeere ka pani),9.09,0.11,0.03,1.46,189.6,0.17,0.46,liquid
Coco pine cooler,32.75,1.0,0.3,5.52,23.2,0.56,0.26,solid
Summer cooler,22.43,0.04,0.01,5.21,1.57,0.37,0.2,solid
Hot cocoa,90.1,4.56,1.37,9.01,24.2,3.36,0.0,solid
Cold coffee with ice cream,67.85,2.11,1.31,11.18,13.84,1.57,0.01,liquid
Banana milkshake (Kele milkshake),65.31,2.37,1.47,7.96,13.61,1.84,0.26,liquid
Mango milkshake (Aam milkshake),56.9,2.35,1.46,7.15,13.27,1.73,0.26,liquid
Pineapple milkshake (Ananas milkshake),55.72,2.23,1.38,7.6,14.05,1.66,0.0,liquid
Orange milkshake (Narangi milkshake),57.42,2.52,1.56,7.08,14.63,1.86,0.0,liquid
Egg nog,97.14,5.11,1.48,8.06,40.65,4.78,0.02,solid
Sweet Lassi (Meethi lassi),35.66,0.68,0.2,6.51,18.31,1.29,0.0,solid
Lassi (salted),18.84,0.72,0.22,1.84,65.4,1.35,0.02,liquid
Cheese and chilli sandwich,173.5,9.78,6.06,2.38,437.5,6.8,2.08,solid
Egg sandwich (Ande ka sandwich),237.1,15.8,4.58,1.86,461.67,8.69,1.88,solid
Cucumber sandwich (Kheere ka sandwich),145.6,8.0,2.4,1.64,362.64,4.8,2.45,solid
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),213.4,12.8,7.94,4.1,571.96,8.2,2.33,solid
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),200.4,12.27,7.61,2.85,549.71,7.92,1.97,solid
Chicken sandwich,210.6,11.75,4.11,1.6,389.67,13.12,1.64,solid
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),247.1,16.14,4.84,2.82,364.99,9.53,4.03,solid
Rainbow sandwich,218.5,12.54,3.76,4.05,612.49,7.75,2.1,solid
Club sandwich,206.1,15.12,4.54,2.01,461.66,7.31,1.81,solid
Vegetarian club sandwich,167.3,11.33,3.4,2.08,305.36,5.45,2.06,solid
Pin wheel sandwich,311.52,24.93,7.48,1.45,374.39,8.77,0.93,solid
Carrot apple sandwich (Gajar aur seb ka sandwich),173.0,9.12,2.74,5.3,302.88,5.3,3.66,solid
Salami sandwich,221.0,15.51,4.65,2.0,662.75,8.7,1.97,solid
Vegetable and mayonnaise sandwich,207.4,15.4,4.62,2.35,342.7,4.47,2.35,solid
Egg and tomato sandwich (Ande aur tamatar ka sandwich),179.6,10.51,3.05,2.09,423.26,7.66,1.77,solid
Sweet open sandwich,195.6,8.15,2.44,12.23,205.27,4.99,2.36,solid
Mushroom and cheese sandwich (toasted),194.3,13.01,8.07,2.11,456.57,7.79,2.28,solid
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),191.3,12.95,8.03,2.67,457.94,6.82,1.78,solid
Pea potato sandwich (toasted) (Matar aloo ka sandwich),121.6,5.43,1.63,1.33,262.63,4.6,2.89,solid
