Product_Name,Energy,Total_Fat,Saturated_Fat,Total_Sugars,Sodium,Protein,Dietary_Fiber,product_form
HIDE & SEEK®,397.3,18.0,9.4,32.5,114.0,5.9,0.0,solid
Britannia Nutrichoice Digestive High-Fibre Biscuits,385.8,20.8,10.3,12.7,362.0,9.3,6.7,solid
"Sunfeast Dark Fantasy Choco Fills, Original Filled Cookies with Choco Crème",462.4,27.3,12.7,35.7,181.5,7.3,0.0,solid
Sunfeast Baked Creations Rich Choco Chip Cookies,93.2,5.5,3.2,6.8,35.1,1.2,0.0,solid
"sunfeast Dark Fantasy Bourbon, Classic Biscuit Made With Real Chocolate",332.8,11.0,5.6,21.3,292.4,9.1,0.0,solid
Britannia Good Day Cashew Cookies Family Pack,422.0,24.0,11.0,22.0,0.0,7.0,0.0,solid
The Baker's Dozen Zero Maida Coconut and Oats Biscuits Cookies,482.0,30.0,14.0,25.0,160.0,10.0,8.0,solid
Britannia The Original Bourbon,424.7,20.3,10.1,38.3,119.0,5.0,0.0,solid
Nutrisum Oats Cookies,419.7,27.3,11.8,5.0,203.7,8.2,12.0,solid
Britannia Good Day Pista Badam,422.0,24.0,11.0,22.0,0.0,7.0,0.0,solid
Britannia Treat Jimjam Cream Biscuits,404.0,19.0,9.5,33.5,214.0,5.0,0.0,solid
UNIBIC Danish Coconut Cookies,532.0,29.4,6.04,34.7,260.0,6.5,8.0,solid
Orion Choco Pie - Chocolate Coated Soft Biscuit,377.8,15.9,10.8,40.0,243.5,3.8,0.0,solid
Britannia Nutrichoice Oats Cookies Diabetic Friendly,349.7,19.0,8.5,2.1,404.0,9.4,9.2,solid
Nutrisum Oats Cookies,412.4,25.3,12.3,6.2,231.3,12.2,10.1,solid
Britannia Nice Time Biscuit,372.0,15.0,8.0,30.5,274.0,6.0,0.0,solid
Britannia Good Day Pista Badam Cookies,422.0,24.0,11.0,22.0,0.0,7.0,0.0,solid
Sunfeast Cheese Wowzers,418.4,23.8,12.0,19.3,419.5,9.1,0.0,solid
Ragi Kaju Pista Cookies,393.6,21.87,10.72,13.57,61.78,9.55,4.66,solid
Britannia Little Hearts Classic Crunch Biscuits,393.6,19.5,9.4,24.0,309.0,7.4,0.0,solid
Britannia Good Day Butter Jeera Cookies,411.4,23.1,11.5,20.8,592.0,6.4,0.0,solid
UNIBIC Choco Chip Cookies,390.9,19.5,12.2,28.0,213.0,5.8,0.0,solid
Britannia Milk Bikis Biscuits,423.4,22.0,12.9,30.2,204.0,7.0,0.0,solid
Sunfeast Baked Creations Walnut & Choco Chip Cookies,479.8,31.0,15.4,29.0,491.4,7.4,0.0,solid
"Ritebite Max Protein Cookie Choco Almond, Sugar Free Premium Biscuit Cookies",251.4,16.3,2.9,3.5,176.0,12.0,8.0,solid
Britannia Good Day Chunkies Chocochip Cookie,512.0,20.4,10.96,25.2,536.0,54.4,0.0,solid
Britannia Nutrichoice Almond and Oats Milk Biscuits,396.9,21.0,8.6,19.5,385.0,8.0,8.4,solid
Orion Mango Choco Pie,417.0,22.0,8.9,42.0,0.0,10.5,18.6,solid
Sunfeast Baked Creations French Style Butter Delice Cookies,429.1,24.2,15.0,26.6,640.0,7.0,0.0,solid
UNIBIC Choco Nut Cookies,381.2,18.9,11.9,25.6,209.0,6.5,0.0,solid
UNIBIC Cashew Badam Cookies,406.9,22.3,10.0,26.0,195.0,5.5,0.0,solid
Britannia Nutrichoice Oats Orange & Almond Biscuits,377.6,19.4,8.5,15.6,351.0,7.8,8.0,solid
Dukes Nice Biscuits,362.7,14.4,7.5,28.2,0.0,7.4,0.0,solid
Parle Hide & Seek Cafe Mocha Cookies,394.7,17.8,9.2,32.0,142.0,5.8,0.0,solid
UNIBIC Fruit & Nut cookie,370.6,19.0,8.6,24.0,209.0,6.4,0.0,solid
Cadbury Chocobakes ChocoChip Cookies,390.8,18.0,8.9,31.2,305.0,7.2,0.0,solid
Mom's Magic Rich Cashew Almond Cookies | Mom's Favorite Baked Cookies,415.8,22.9,10.3,22.8,0.0,7.8,0.0,solid
Britannia NutriChoice Chocolate and Almond Oats Biscuits,404.1,22.5,10.6,21.7,376.0,7.2,0.0,solid
Parle Happy Happy choco chip cookies,407.8,20.1,10.6,30.6,197.0,5.8,0.0,solid
Malkist Cheese Crunchy Layered Crackers,397.6,21.3,14.2,21.3,527.0,7.6,0.0,solid
Karachi Bakery Osmania Biscuits,310.0,32.0,16.0,8.0,671.0,4.0,6.0,solid
UNIBIC Biscot Caramel Atta Biscuit,388.0,18.0,10.5,30.0,240.0,6.0,0.0,solid
Haldirams Cookie Heaven Badam Pista Cookies,444.6,31.8,20.2,4.0,122.7,9.5,0.0,solid
Haldirams Cookie Heaven Jeera Cookies,468.1,32.9,2.0,15.9,577.8,6.7,0.0,solid
"Ritebite Max Protein Cookie Choco Chips, No Maida Multigrain Premium Biscuit Cookies",235.3,13.3,8.1,10.0,0.0,10.0,4.0,solid
"Ritebite Max Protein Cookie Trail Mix, No Maida Multigrain Premium Biscuit Cookies",217.7,11.6,4.0,11.0,129.0,10.0,4.0,solid
